Tamanho do Pacote (bytes),Porta de Origem,Porta de Destino
137,443,62228
97,62228,443
810,52421,443
94,62228,443
87,443,62228
95,443,52421
95,52421,443
789,60626,443
110,443,60626
97,60626,443
974,443,60626
174,443,60626
96,60626,443
100,60626,443
96,60626,443
96,60626,443
96,60626,443
97,60626,443
398,443,60626
96,60626,443
558,443,60626
270,443,60626
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
91,52421,443
580,443,52421
85,443,52421
101,52421,443
782,443,60626
96,60626,443
96,60626,443
95,52421,443
97,60626,443
86,55962,443
654,443,60626
96,60626,443
97,60626,443
95,52421,443
86,443,55962
74,55962,443
112,443,58683
142,443,58683
104,58683,443
105,58683,443
135,58683,443
130,58683,443
580,58683,443
205,58683,443
191,58683,443
580,443,52421
96,52421,443
74,443,55962
1137,443,55962
102,443,58683
174,443,58683
334,443,58683
74,55962,443
138,55962,443
96,58683,443
89,443,52421
110,443,58683
110,443,58683
96,58683,443
110,443,58683
334,443,58683
96,58683,443
100,58683,443
96,58683,443
96,58683,443
245,443,55962
148,443,55962
74,55962,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
100,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
101,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
101,58683,443
96,58683,443
101,58683,443
97,58683,443
98,58683,443
97,58683,443
97,58683,443
97,58683,443
199,58683,443
192,58683,443
178,58683,443
177,58683,443
366,443,58683
110,443,58683
96,58683,443
398,443,58683
100,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
96,58683,443
97,58683,443
98,58683,443
97,58683,443
97,58683,443
98,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
102,58683,443
97,58683,443
97,58683,443
98,58683,443
97,58683,443
97,58683,443
97,58683,443
91,52421,443
97,58683,443
97,58683,443
97,58683,443
98,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
98,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
102,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
98,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
102,58683,443
98,58683,443
89,443,52421
97,58683,443
97,58683,443
97,58683,443
96,55793,53
96,51172,53
96,52833,53
97,58683,443
97,58683,443
97,58683,443
98,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
98,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
102,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
98,58683,443
97,58683,443
97,58683,443
97,58683,443
98,58683,443
97,58683,443
97,58683,443
141,53,51172
170,53,52833
153,53,55793
97,58683,443
142,56137,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
98,58683,443
91,52421,443
97,58683,443
98,58683,443
91,52421,443
102,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
98,58683,443
97,58683,443
97,58683,443
98,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
98,58683,443
350,443,56137
110,443,56137
142,443,56137
97,58683,443
97,58683,443
143,56137,443
208,56137,443
98,58683,443
97,58683,443
102,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
98,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
350,443,56137
117,443,56137
102,58683,443
98,56137,443
98,58683,443
89,443,52421
101,443,56137
97,58683,443
97,58683,443
174,443,56137
102,58683,443
98,56137,443
110,443,56137
110,443,56137
334,443,56137
98,56137,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
91,443,52421
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
98,58683,443
103,443,56137
110,443,56137
97,58683,443
97,58683,443
97,58683,443
98,58683,443
99,56137,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
98,58683,443
102,58683,443
624,60626,443
97,58683,443
98,58683,443
161,58683,443
98,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
91,52421,443
98,58683,443
97,58683,443
97,58683,443
98,58683,443
98,58683,443
97,58683,443
98,58683,443
98,58683,443
97,58683,443
97,58683,443
110,443,60626
98,58683,443
97,58683,443
97,58683,443
98,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
102,58683,443
97,58683,443
97,58683,443
97,58683,443
97,58683,443
91,52421,443
582,60626,443
91,443,52421
110,443,60626
186,60626,443
110,443,60626
97,60626,443
243,60626,443
110,443,60626
96,60626,443
302,443,60626
174,443,60626
100,60626,443
96,60626,443
103,61380,3544
558,443,60626
100,60626,443
686,443,60626
100,60626,443
110,443,60626
96,60626,443
163,60626,443
209,60626,443
110,443,60626
110,443,60626
96,60626,443
91,52421,443
110,443,60626
100,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
101,60626,443
97,60626,443
96,60626,443
97,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
96,60626,443
97,60626,443
91,443,52421
151,3544,61380
96,60626,443
97,60626,443
98,60626,443
98,60626,443
96,60626,443
96,60626,443
97,60626,443
96,60626,443
96,60626,443
96,60626,443
102,60626,443
97,60626,443
97,60626,443
97,60626,443
98,60626,443
97,60626,443
97,60626,443
97,60626,443
97,60626,443
96,60626,443
96,60626,443
97,60626,443
97,60626,443
97,60626,443
97,60626,443
97,60626,443
98,60626,443
97,60626,443
98,60626,443
98,60626,443
686,443,60626
110,443,60626
97,60626,443
97,60626,443
101,60626,443
98,60626,443
110,443,60626
110,443,60626
91,52421,443
92,443,52421
91,52421,443
92,443,52421
42,443,52421
42,443,52421
91,52421,443
92,443,52421
191,58683,443
192,58683,443
177,58683,443
177,58683,443
192,58683,443
177,58683,443
110,443,58683
110,443,58683
97,58683,443
646,60626,443
398,443,58683
1198,443,58683
110,443,58683
334,443,58683
110,443,58683
100,58683,443
100,58683,443
100,58683,443
97,58683,443
110,443,58683
110,443,58683
96,58683,443
96,58683,443
96,58683,443
97,58683,443
97,58683,443
90,64199,17301
110,443,60626
96,58683,443
98,58683,443
97,60626,443
97,58683,443
102,58683,443
101,58683,443
97,58683,443
101,58683,443
98,58683,443
974,443,58683
110,443,58683
98,58683,443
110,443,58683
100,60626,443
86,55963,443
96,55452,53
96,52798,53
1198,443,60626
109,61662,53
366,443,60626
97,60626,443
86,443,55963
74,55963,443
161,53,55452
149,53,52798
166,53,61662
86,55964,5222
110,443,60626
86,5222,55964
74,55964,5222
74,443,55963
370,443,55963
138,55963,443
668,55963,443
74,5222,55964
370,5222,55964
74,443,55963
251,443,55963
138,55964,5222
673,55964,5222
74,5222,55964
251,5222,55964
258,60626,443
110,443,60626
97,60626,443
90,17301,64199
74,55963,443
74,55964,5222
262,443,55963
54,64199,17301
156,55963,443
74,55964,5222
262,5222,55964
74,55964,5222
74,5222,55964
74,443,55963
100,60626,443
1198,443,60626
96,60626,443
1134,443,60626
97,60626,443
450,443,55963
110,443,60626
74,55963,443
259,55963,443
74,443,55963
244,443,55963
148,55963,443
161,55963,443
74,443,55963
74,443,55963
214,59727,6667
144,443,55963
74,55963,443
652,443,55963
166,443,55963
74,55963,443
166,55963,443
181,55963,443
74,443,55963
74,443,55963
148,443,55963
214,443,55963
74,55963,443
650,443,55963
74,55963,443
86,443,52421
86,443,52421
175,443,55963
327,443,55963
74,55963,443
91,52421,443
92,443,52421
134,55963,443
137,55963,443
74,443,55963
174,55963,443
174,55963,443
74,443,55963
74,55963,443
74,55963,443
340,443,55963
74,55963,443
74,55963,443
74,55963,443
74,55963,443
122,443,55963
74,55963,443
163,55963,443
163,55963,443
74,443,55963
576,443,55963
614,443,55963
74,55963,443
55,55527,443
66,443,55527
174,55963,443
177,55963,443
177,55963,443
177,55963,443
74,443,55963
174,55963,443
174,55963,443
149,55963,443
149,55963,443
149,55963,443
149,55963,443
74,443,55963
74,443,55963
146,55963,443
146,55963,443
146,55963,443
146,55963,443
146,55963,443
146,55963,443
74,443,55963
74,443,55963
74,443,55963
